T [fm^-1]		muB [fm^-1]		c1_df14 [..]
0.580000		0.000000		0.000000
0.582424		0.000000		-0.000000
0.584848		0.000000		0.000000
0.587273		0.000000		0.000000
0.589697		0.000000		-0.000000
0.592121		0.000000		0.000000
0.594545		0.000000		-0.000000
0.596970		0.000000		-0.000000
0.599394		0.000000		-0.000000
0.601818		0.000000		0.000000
0.604242		0.000000		0.000000
0.606667		0.000000		-0.000000
0.609091		0.000000		0.000000
0.611515		0.000000		-0.000000
0.613939		0.000000		-0.000000
0.616364		0.000000		0.000000
0.618788		0.000000		-0.000000
0.621212		0.000000		0.000000
0.623636		0.000000		0.000000
0.626061		0.000000		0.000000
0.628485		0.000000		0.000000
0.630909		0.000000		0.000000
0.633333		0.000000		-0.000000
0.635758		0.000000		-0.000000
0.638182		0.000000		0.000000
0.640606		0.000000		0.000000
0.643030		0.000000		0.000000
0.645455		0.000000		0.000000
0.647879		0.000000		0.000000
0.650303		0.000000		0.000000
0.652727		0.000000		0.000000
0.655152		0.000000		0.000000
0.657576		0.000000		-0.000000
0.660000		0.000000		0.000000
0.662424		0.000000		0.000000
0.664848		0.000000		0.000000
0.667273		0.000000		0.000000
0.669697		0.000000		-0.000000
0.672121		0.000000		0.000000
0.674545		0.000000		0.000000
0.676970		0.000000		-0.000000
0.679394		0.000000		0.000000
0.681818		0.000000		-0.000000
0.684242		0.000000		-0.000000
0.686667		0.000000		-0.000000
0.689091		0.000000		-0.000000
0.691515		0.000000		0.000000
0.693939		0.000000		-0.000000
0.696364		0.000000		-0.000000
0.698788		0.000000		-0.000000
0.701212		0.000000		0.000000
0.703636		0.000000		-0.000000
0.706061		0.000000		-0.000000
0.708485		0.000000		-0.000000
0.710909		0.000000		-0.000000
0.713333		0.000000		0.000000
0.715758		0.000000		0.000000
0.718182		0.000000		-0.000000
0.720606		0.000000		0.000000
0.723030		0.000000		-0.000000
0.725455		0.000000		0.000000
0.727879		0.000000		0.000000
0.730303		0.000000		-0.000000
0.732727		0.000000		0.000000
0.735152		0.000000		0.000000
0.737576		0.000000		0.000000
0.740000		0.000000		-0.000000
0.742424		0.000000		-0.000000
0.744848		0.000000		0.000000
0.747273		0.000000		0.000000
0.749697		0.000000		0.000000
0.752121		0.000000		0.000000
0.754545		0.000000		-0.000000
0.756970		0.000000		-0.000000
